number,construction,installation,short,description
77,Блок-бокс дизельной электростанции АДЭС 1600кВт, , ,УКПГ-2. Блок-бокс дизельной электростанции АДЭС 1600кВт (поз. по ГП 77)
77а,Емкость подземная дренажная V =3м3, , ,УКПГ-2. Емкость подземная дренажная V =3м3 (поз. по ГП 77а)
78,Здание закрытого распределительного утсройства 10кВ, , ,УКПГ-2. Здание закрытого распределительного утсройства 10кВ (поз. по ГП 78)
80,Блок-бокс электробогрева, , ,УКПГ-2. Блок-бокс электробогрева (поз. по ГП 80)
81,Блок-бокс электробогрева, , ,УКПГ-2. Блок-бокс электробогрева (поз. по ГП 81)
82,Блок-бокс электробогрева, , ,УКПГ-2. Блок-бокс электробогрева (поз. по ГП 82)
84,"Блочно-комплектная трансформаторная подстанция 2БКТПА 630/10/0,4 УХЛ1", , ,"УКПГ-2. Блочно-комплектная трансформаторная подстанция 2БКТПА 630/10/0,4 УХЛ1 (поз. по ГП 84)"
85,Блок-бокс дизельной электростанции АДЭС 630кВт, , ,УКПГ-2. Блок-бокс дизельной электростанции АДЭС 630кВт (поз. по ГП 85)
85а ,Емкость подземная дренажная V =3м3, , ,УКПГ-2. Емкость подземная дренажная V =3м3 (поз. по ГП 85а )
86,"Блочно-комплектная трансформаторная подстанция 2БКТПА 1000/10/0,4 УХЛ1", , ,"УКПГ-2. Блочно-комплектная трансформаторная подстанция 2БКТПА 1000/10/0,4 УХЛ1 (поз. по ГП 86)"
89,"Блочно-комплектная трансформаторная подстанция 2БКТПА 1600/10/0,4 УХЛ1", , ,"УКПГ-2. Блочно-комплектная трансформаторная подстанция 2БКТПА 1600/10/0,4 УХЛ1 (поз. по ГП 89)"
90,"Блочно-комплектная трансформаторная подстанция 2БКТПА 1600/10/0,4 УХЛ1", , ,"УКПГ-2. Блочно-комплектная трансформаторная подстанция 2БКТПА 1600/10/0,4 УХЛ1 (поз. по ГП 90)"
94,Блочно-комплектная закрытое распределительное устройство 10кВ, , ,УКПГ-2. Блочно-комплектная закрытое распределительное устройство 10кВ (поз. по ГП 94)
95,Блок-бокс дизельной электростанции АДЭС 1000кВт, , ,УКПГ-2. Блок-бокс дизельной электростанции АДЭС 1000кВт (поз. по ГП 95)
95а,Емкость подземная дренажная V =3м3, , ,УКПГ-2. Емкость подземная дренажная V =3м3 (поз. по ГП 95а)
96,БКПС-110/10кВ 2x25МВА (в том числе):,"Площадка БКПС-110/10кВ Проектирует ""Газпромпроектирование"" Нижегородский филиал", БКПС. ,УКПГ-2. БКПС. БКПС-110/10кВ 2x25МВА (в том числе): (поз. по ГП 96)
96-1,Закрытое распределительное устройство 110 кВ (ЗРУ 110кВ),"Площадка БКПС-110/10кВ Проектирует ""Газпромпроектирование"" Нижегородский филиал", БКПС. ,УКПГ-2. БКПС. Закрытое распределительное устройство 110 кВ (ЗРУ 110кВ) (поз. по ГП 96-1)
96-2,Силовой трансформатор 110/10кВ (Т1),"Площадка БКПС-110/10кВ Проектирует ""Газпромпроектирование"" Нижегородский филиал", БКПС. ,УКПГ-2. БКПС. Силовой трансформатор 110/10кВ (Т1) (поз. по ГП 96-2)
96-3,Силовой трансформатор 110/10кВ (Т2),"Площадка БКПС-110/10кВ Проектирует ""Газпромпроектирование"" Нижегородский филиал", БКПС. ,УКПГ-2. БКПС. Силовой трансформатор 110/10кВ (Т2) (поз. по ГП 96-3)
96-4,Маслосборник V=75 м2,"Площадка БКПС-110/10кВ Проектирует ""Газпромпроектирование"" Нижегородский филиал", БКПС. ,УКПГ-2. БКПС. Маслосборник V=75 м2 (поз. по ГП 96-4)
